Hamlet.txt,king,NAIVE,222,39,2;
Hamlet.txt,king,RABIN,222,39,14;
Hamlet.txt,king,KMP,222,39,1;
Hamlet.txt,king,BOYER,222,39,0;
HenryV.txt,king,NAIVE,78,2,0;
HenryV.txt,king,RABIN,78,2,6;
HenryV.txt,king,KMP,78,2,1;
HenryV.txt,king,BOYER,78,2,0;
Lucrece.txt,king,NAIVE,34,7,0;
Lucrece.txt,king,RABIN,34,7,3;
Lucrece.txt,king,KMP,34,7,0;
Lucrece.txt,king,BOYER,34,7,1;
HenryV.txt,king,NAIVE,78,2,1;
HenryV.txt,king,RABIN,78,2,6;
HenryV.txt,king,KMP,78,2,1;
HenryV.txt,king,BOYER,78,2,1;
Coriolanus.txt,king,NAIVE,70,16,12;
Coriolanus.txt,king,RABIN,70,16,4;
Coriolanus.txt,king,KMP,70,16,1;
Coriolanus.txt,king,BOYER,70,16,0;
HenryIV_PartII.txt,king,NAIVE,69,2,15;
HenryIV_PartII.txt,king,RABIN,69,2,5;
HenryIV_PartII.txt,king,KMP,69,2,0;
HenryIV_PartII.txt,king,BOYER,69,2,0;
HenryIV_PartII.txt,king,NAIVE,69,2,0;
HenryIV_PartII.txt,king,RABIN,69,2,6;
HenryIV_PartII.txt,king,KMP,69,2,0;
HenryIV_PartII.txt,king,BOYER,69,2,0;
Macbeth.txt,cauldron,NAIVE,2305,16,19;
Macbeth.txt,Ruivo,nao encontrado,24;
Macbeth.txt,cauldron,NAIVE,2305,16,6;
Macbeth.txt,Erica,nao encontrado,31;
Hamlet.txt,peal,BOYER,6078,41,30;
KingLear.txt,Murilo,nao encontrado,38;
KingLear.txt,deservings,KMP,5517,17,13;
HenryV.txt,Ediana,nao encontrado,28;
HenryV.txt,Fortune,BOYER,2077,0,5;
AMidsummerNightsDream.txt,amends,NAIVE,3335,14,19;
AMidsummerNightsDream.txt,amends,RABIN,3335,14,57;
AMidsummerNightsDream.txt,amends,KMP,3335,14,8;
AMidsummerNightsDream.txt,amends,BOYER,3335,14,4;
HenryV.txt,amends,nao encontrado,6;
HenryV.txt,amends,nao encontrado,682;
HenryV.txt,amends,nao encontrado,5;
HenryV.txt,amends,nao encontrado,9;
Coriolanus.txt,amends,nao encontrado,3;
Coriolanus.txt,amends,nao encontrado,560;
Coriolanus.txt,amends,nao encontrado,2;
Coriolanus.txt,amends,nao encontrado,14;
AMidsummerNightsDream.txt,amends,NAIVE,3335,14,2;
AMidsummerNightsDream.txt,amends,RABIN,3335,14,34;
AMidsummerNightsDream.txt,amends,KMP,3335,14,1;
AMidsummerNightsDream.txt,amends,BOYER,3335,14,2;
Hamlet.txt,amends,nao encontrado,2;
Hamlet.txt,amends,nao encontrado,143;
Hamlet.txt,amends,nao encontrado,8;
Hamlet.txt,amends,nao encontrado,3;
HenryIV_PartII.txt,amends,nao encontrado,2;
HenryIV_PartII.txt,amends,nao encontrado,32;
HenryIV_PartII.txt,amends,nao encontrado,1;
HenryIV_PartII.txt,amends,nao encontrado,1;
AMidsummerNightsDream.txt,amends,NAIVE,3335,14,2;
AMidsummerNightsDream.txt,amends,RABIN,3335,14,17;
AMidsummerNightsDream.txt,amends,KMP,3335,14,0;
AMidsummerNightsDream.txt,amends,BOYER,3335,14,1;
Hamlet.txt,amends,nao encontrado,2;
Hamlet.txt,amends,nao encontrado,648;
Hamlet.txt,amends,nao encontrado,1;
Hamlet.txt,amends,nao encontrado,2;
AMidsummerNightsDream.txt,amends,NAIVE,3335,14,22;
AMidsummerNightsDream.txt,amends,RABIN,3335,14,118;
AMidsummerNightsDream.txt,amends,KMP,3335,14,12;
AMidsummerNightsDream.txt,amends,BOYER,3335,14,4;
AsYouLikeIt.txt,amends,nao encontrado,14;
AsYouLikeIt.txt,amends,nao encontrado,166;
AsYouLikeIt.txt,amends,nao encontrado,8;
AsYouLikeIt.txt,amends,nao encontrado,8;
AsYouLikeIt.txt,Think,nao encontrado,0;
AsYouLikeIt.txt,Think,nao encontrado,0;
AsYouLikeIt.txt,Think,nao encontrado,0;
AsYouLikeIt.txt,Think,nao encontrado,0;
Cymbeline.txt,Think,nao encontrado,0;
Cymbeline.txt,Think,nao encontrado,0;
Cymbeline.txt,Think,nao encontrado,0;
Cymbeline.txt,Think,nao encontrado,0;
HenryVI_PartI.txt,My lord,nao encontrado,0;
HenryVI_PartI.txt,My lord,nao encontrado,0;
HenryVI_PartI.txt,My lord,nao encontrado,0;
HenryVI_PartI.txt,My lord,nao encontrado,0;
HenryIV_PartII.txt,My lord,nao encontrado,0;
HenryIV_PartII.txt,My lord,nao encontrado,0;
HenryIV_PartII.txt,My lord,nao encontrado,0;
HenryIV_PartII.txt,My lord,nao encontrado,0;
HenryIV_PartII.txt,My,nao encontrado,0;
HenryIV_PartII.txt,My,nao encontrado,0;
HenryIV_PartII.txt,My,nao encontrado,0;
HenryIV_PartII.txt,My,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
Hamlet.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
AMidsummerNightsDream.txt,amends,nao encontrado,0;
Hamlet.txt,Erica,nao encontrado,0;
Hamlet.txt,peal,nao encontrado,0;
